,U0_Mean_FAN,U0_ShapeFactor_FAN,U10_BandPower_FAN,U10_Mean_FAN,U10_Mean_SLOPE,U10_PeakValue_FAN,U10_PeakValue_REGISTER,U10_PeakValue_SLOPE,U10_RMS_FAN,U10_RMS_SLOPE,U10_SINAD_FAN,U10_SNR_FAN,U1_BandPower_REGISTER,U1_CorrelationDim_FAN,U2_Skewness_REGISTER,U4_ApproxEntropy_FAN,U4_ClearanceFactor_REGISTER,U4_CrestFactor_REGISTER,U4_ImpulseFactor_REGISTER,U4_Kurtosis_FAN,U4_Skewness_FAN,U4_THD_FAN,U4_THD_REGISTER,U6_Skewness_REGISTER,U8_BandPower_FAN,U8_SINAD_FAN,U8_SINAD_REGISTER,U8_SNR_FAN,U8_SNR_REGISTER,U8_THD_FAN,U9_Kurtosis_FAN,Type
0,2.11373411534702,1.01712766970955,12.0570412233688,3.51314760508309,3.21065493646139,3.64125122189638,3.65982404692082,3.455522971652,3.51342047453538,3.22201713216489,-15.8718768155572,-15.8718768155572,4.0702030788063,1.88290875765496,0.0995242614700716,-0.133531392624523,1.00977712420576,1.00971818345762,1.00975743484044,1.76609361292108,0.0644269477001406,1.04455300388564,-10000.0,0.0899367984860695,11.1767891342803,-10000.0,8.25594961644569,-10000.0,7.58559072636541,0.0,3.06545027548858,Amontillado
1,1.89838709677419,1.00031676152688,11.366979512959,3.40713587487781,3.23724340175953,3.46432062561095,3.45454545454545,3.44379276637341,3.40728451845918,3.24845329493126,5.28185387179873,-0.317278562155395,0.760447194031652,2.03352404180683,-0.726760288415501,0.0198579395556022,1.01413630052513,1.01411039368276,1.01412768384406,2.74371074545283,0.0924114827911433,2.90184175976101,-10000.0,-0.153012641738565,9.98862849925301,0.77240467125474,-1.93339391392467,0.77240467125474,-3.06055380940629,-10000.0,1.9541318742437,Amontillado
2,2.45459433040078,1.00948512368039,12.0579099213926,3.50992179863148,3.19951124144672,3.67057673509286,3.67741935483871,3.52394916911046,3.51060628209785,3.21153534750527,-9.10720155053051,-9.10720155053051,4.80992732769618,2.4048970386995,-0.111001137127298,0.0575015516534072,1.01635812615055,1.01622784804316,1.01631457643495,1.91276728664962,0.177498983701224,-0.433543826634189,-10000.0,-0.133086922228299,11.6413870198929,-7.20504222314904,16.4829198824459,-7.20504222314904,16.0325695609266,-10000.0,2.57207225973015,Amontillado
3,2.45576735092864,1.00847128713877,12.3189321066003,3.52531769305963,3.33929618768328,3.64711632453568,3.67253176930596,3.55327468230694,3.52558342653412,3.34780758793211,-8.92616440244304,-8.92616440244304,4.53137822060092,2.04259175402639,0.779690150177796,-0.057158413839947,1.01049338505785,1.01041332178041,1.01046662443821,1.955486992759,0.103831124460266,-0.0503123109868735,-10000.0,0.638728584251973,11.7522751634824,-21.0329047365499,12.2515590286119,-21.0329047365499,11.2915417382565,-10000.0,2.67708661302575,Amontillado
4,2.55630498533724,1.00477941821284,11.9116866641516,3.51647116324536,3.32961876832845,3.67937438905181,3.68035190615836,3.56891495601173,3.5169816882199,3.33756135168284,-11.3600562133429,-11.3600562133429,5.09849777531858,2.53529412004276,-0.850050849918633,-0.057158413839947,1.01350532772341,1.01340963100181,1.01347335050525,1.85325243816465,0.241999522988817,-0.717540625452361,-10000.0,-0.785967089018192,11.1669783557816,-12.822530968701,-40.4241513156124,-12.822530968701,-40.4241513156124,-10000.0,3.42079369150987,Amontillado
5,2.53455522971652,1.00344291419843,12.3609217832521,3.55063538611926,3.2386119257087,3.6119257086999,3.62365591397849,3.47018572825024,3.55076277215834,3.24572915634601,-1.73297540123066,-1.73297540123066,2.9407661659517,1.34147409402666,0.836179480750686,-0.100959754869872,1.00661017301887,1.00658712729673,1.00660247868471,1.84542288634976,0.0309063381166528,-0.521105583370508,-10000.0,0.728296597782292,11.3471782192152,7.93321922488458,-8.93658871648559,0.402121803946783,-8.93658871648559,0.439976363254657,1.82082312386095,Amontillado
6,2.66759530791789,1.00546849106439,11.7609011462809,3.52986314760508,3.4702834799609,3.69599217986315,3.69599217986315,3.62561094819159,3.53036030316526,3.47673899693889,-10.5057985820398,-10.5057985820398,4.70276210466159,1.48455006504028,-0.283022565347094,0.0198579395556022,1.01358125684505,1.01351419524414,1.01355889309596,1.74060473973739,0.181474738218102,0.146050182253403,-1.4985005711187,-0.0177940668702167,11.4930388498802,-10000.0,9.55210477257716,-10000.0,-14.2181193942867,0.0,2.95705641733254,Amontillado
7,2.6791788856305,1.00573962108173,11.8144736398024,3.51549364613881,3.34613880742913,3.69794721407625,3.69599217986315,3.58357771260997,3.5162441814529,3.35352229240478,-30.719678971361,-30.719678971361,5.24548601096711,1.20926996097583,-0.480955730328929,-0.0606246218164355,1.00857751378042,1.00854462045155,1.00856653340948,2.21894993073447,0.410833514700522,0.122960493494927,-10000.0,0.0248182327215547,11.2395327476819,-15.2398099031638,4.20223642276744,-15.2398099031638,-0.672499981682643,-10000.0,2.53529690587022,Amontillado
8,2.37497556207234,1.01090416984243,12.0119131959238,3.50454545454545,3.25434995112414,3.66177908113392,3.66080156402737,3.50928641251222,3.50502716963333,3.26212362541282,-13.0879088012601,-13.0879088012601,3.58559877924809,1.5391001305485,-1.05714025770344,0.0217752729872274,1.00628363153275,1.00627005569103,1.00627910527521,2.42836833240593,0.275825677778052,-10000.0,-0.347454296957561,-1.14336576992078,11.5274456776446,-9.88442576274453,19.7825648183035,-9.88442576274453,19.4643776068432,-10000.0,2.38016160463789,Amontillado
9,2.46920821114369,1.00956318409913,11.996116122909,3.51275659824047,3.35122189638319,3.68035190615836,3.68132942326491,3.59042033235582,3.51326319163179,3.35892079224325,-7.21210062678861,-7.21210062678861,4.55646410910885,1.61877186907144,0.315181247403159,-0.241162056816887,1.00689663001679,1.00687895077853,1.0068907326677,2.44322529986449,0.332580028733556,-10000.0,-1.71812507514416,0.220411228884343,11.6958070534054,-8.40637922785987,11.7644110687264,-8.40637922785987,12.7745919087816,-10000.0,2.99043610534821,Amontillado
